,Div,Date,Time,HomeTeam,AwayTeam,HomeScore,AwayScore,Result,HomeTeam ID,AwayTeam ID,City,Unnamed: 11,Latitude,Longitude,Avg Temp (in F)
128,SP1,2019-11-10,20:00,Betis,Sevilla,1,2,A,LIG4,LIG15,Seville,,37.3890924,-5.9844589,59
129,SP1,2019-11-22,20:00,Levante,Mallorca,2,1,H,LIG11,LIG12,Valencia,,39.4699075,-0.3762881,56
130,SP1,2019-11-23,12:00,Leganes,Barcelona,1,2,A,LIG10,LIG3,Leganes,,40.3319506,-3.7686545,48
131,SP1,2019-11-23,15:00,Betis,Valencia,2,1,H,LIG4,LIG17,Seville,,37.3890924,-5.9844589,58
132,SP1,2019-11-23,17:30,Granada,Ath Madrid,1,1,D,LIG9,LIG2,Granada,,37.1773363,-3.5985571,46
133,SP1,2019-11-23,20:00,Real Madrid,Sociedad,3,1,H,LIG14,LIG16,Madrid,,40.4167754,-3.7037902,48
134,SP1,2019-11-24,11:00,Espanol,Getafe,1,1,D,LIG7,LIG8,Barcelona,,41.3850639,2.1734035,57
135,SP1,2019-11-24,13:00,Osasuna,Ath Bilbao,1,2,A,LIG13,LIG1,Pamplona,,42.812526,-1.6457745,46
136,SP1,2019-11-24,15:00,Eibar,Alaves,0,2,A,LIG6,LIG0,Eibar,,43.1827331,-2.4814679,53
137,SP1,2019-11-24,17:30,Villarreal,Celta,1,3,A,LIG19,LIG5,Villarreal,,39.9397706,-0.1005932,58
138,SP1,2019-11-24,20:00,Valladolid,Sevilla,0,1,A,LIG18,LIG15,Valladolid,,41.652251,-4.724532099999999,42
139,SP1,2019-11-29,20:00,Celta,Valladolid,0,0,D,LIG5,LIG18,Vigo,,42.24059889999999,-8.7207268,57
140,SP1,2019-11-30,12:00,Alaves,Real Madrid,1,2,A,LIG0,LIG14,Vitoria-Gasteiz,,42.850237,-2.6728711,50
141,SP1,2019-11-30,15:00,Sociedad,Eibar,4,1,H,LIG16,LIG6,San Sebastian,,43.318334,-1.9812313,54
142,SP1,2019-11-30,17:30,Mallorca,Betis,1,2,A,LIG12,LIG4,Palma,,39.5696005,2.6501603,61
143,SP1,2019-11-30,20:00,Valencia,Villarreal,2,1,H,LIG17,LIG19,Valencia,,39.4699075,-0.3762881,64
144,SP1,2019-12-01,11:00,Sevilla,Leganes,1,0,H,LIG15,LIG10,Seville,,37.3890924,-5.9844589,56
145,SP1,2019-12-01,13:00,Ath Bilbao,Granada,2,0,H,LIG1,LIG9,Bilbao,,43.2630126,-2.9349852,53
146,SP1,2019-12-01,15:00,Espanol,Osasuna,2,4,A,LIG7,LIG13,Barcelona,,41.3850639,2.1734035,58
147,SP1,2019-12-01,17:30,Getafe,Levante,4,0,H,LIG8,LIG11,Getafe,,40.3082504,-3.7323934,45
148,SP1,2019-12-01,20:00,Ath Madrid,Barcelona,0,1,A,LIG2,LIG3,Madrid,,40.4167754,-3.7037902,46
149,SP1,2019-12-06,20:00,Villarreal,Ath Madrid,0,0,D,LIG19,LIG2,Villarreal,,39.9397706,-0.1005932,56
150,SP1,2019-12-07,12:00,Real Madrid,Espanol,2,0,H,LIG14,LIG7,Madrid,,40.4167754,-3.7037902,53
151,SP1,2019-12-07,15:00,Granada,Alaves,3,0,H,LIG9,LIG0,Granada,,37.1773363,-3.5985571,50
152,SP1,2019-12-07,17:30,Levante,Valencia,2,4,A,LIG11,LIG17,Valencia,,39.4699075,-0.3762881,57
153,SP1,2019-12-07,20:00,Barcelona,Mallorca,5,2,H,LIG3,LIG12,Barcelona,,41.3850639,2.1734035,57
154,SP1,2019-12-08,11:00,Eibar,Getafe,0,1,A,LIG6,LIG8,Eibar,,43.1827331,-2.4814679,52
155,SP1,2019-12-08,13:00,Betis,Ath Bilbao,3,2,H,LIG4,LIG1,Seville,,37.3890924,-5.9844589,57
156,SP1,2019-12-08,15:00,Valladolid,Sociedad,0,0,D,LIG18,LIG16,Valladolid,,41.652251,-4.724532099999999,44
157,SP1,2019-12-08,17:30,Leganes,Celta,3,2,H,LIG10,LIG5,Leganes,,40.3319506,-3.7686545,50
158,SP1,2019-12-08,20:00,Osasuna,Sevilla,1,1,D,LIG13,LIG15,Pamplona,,42.812526,-1.6457745,45
159,SP1,2019-12-13,20:00,Alaves,Leganes,1,1,D,LIG0,LIG10,Vitoria-Gasteiz,,42.850237,-2.6728711,52
160,SP1,2019-12-14,12:00,Granada,Levante,1,2,A,LIG9,LIG11,Granada,,37.1773363,-3.5985571,49
161,SP1,2019-12-14,15:00,Sociedad,Barcelona,2,2,D,LIG16,LIG3,San Sebastian,,43.318334,-1.9812313,56
162,SP1,2019-12-14,17:30,Ath Bilbao,Eibar,0,0,D,LIG1,LIG6,Bilbao,,43.2630126,-2.9349852,56
163,SP1,2019-12-14,20:00,Ath Madrid,Osasuna,2,0,H,LIG2,LIG13,Madrid,,40.4167754,-3.7037902,49
164,SP1,2019-12-15,11:00,Getafe,Valladolid,2,0,H,LIG8,LIG18,Getafe,,40.3082504,-3.7323934,49
165,SP1,2019-12-15,13:00,Celta,Mallorca,2,2,D,LIG5,LIG12,Vigo,,42.24059889999999,-8.7207268,53
166,SP1,2019-12-15,15:00,Espanol,Betis,2,2,D,LIG7,LIG4,Barcelona,,41.3850639,2.1734035,57
167,SP1,2019-12-15,17:30,Sevilla,Villarreal,1,2,A,LIG15,LIG19,Seville,,37.3890924,-5.9844589,56
168,SP1,2019-12-15,20:00,Valencia,Real Madrid,1,1,D,LIG17,LIG14,Valencia,,39.4699075,-0.3762881,57
169,SP1,2019-12-18,19:00,Barcelona,Real Madrid,0,0,D,LIG3,LIG14,Barcelona,,41.3850639,2.1734035,60
170,SP1,2019-12-20,20:00,Eibar,Granada,3,0,H,LIG6,LIG9,Eibar,,43.1827331,-2.4814679,53
171,SP1,2019-12-21,12:00,Mallorca,Sevilla,0,2,A,LIG12,LIG15,Palma,,39.5696005,2.6501603,63
172,SP1,2019-12-21,15:00,Barcelona,Alaves,4,1,H,LIG3,LIG0,Barcelona,,41.3850639,2.1734035,59
173,SP1,2019-12-21,17:30,Villarreal,Getafe,1,0,H,LIG19,LIG8,Villarreal,,39.9397706,-0.1005932,65
174,SP1,2019-12-21,20:00,Valladolid,Valencia,1,1,D,LIG18,LIG17,Valladolid,,41.652251,-4.724532099999999,53
175,SP1,2019-12-22,11:00,Leganes,Espanol,2,0,H,LIG10,LIG7,Leganes,,40.3319506,-3.7686545,52
176,SP1,2019-12-22,13:00,Osasuna,Sociedad,3,4,A,LIG13,LIG16,Pamplona,,42.812526,-1.6457745,48
177,SP1,2019-12-22,15:00,Betis,Ath Madrid,1,2,A,LIG4,LIG2,Seville,,37.3890924,-5.9844589,58
178,SP1,2019-12-22,17:30,Levante,Celta,3,1,H,LIG11,LIG5,Valencia,,39.4699075,-0.3762881,63
179,SP1,2019-12-22,20:00,Real Madrid,Ath Bilbao,0,0,D,LIG14,LIG1,Madrid,,40.4167754,-3.7037902,52
