,Div,Team,Team ID,Date,Opponent,Attendance
273,E0,Man_United,EPL11,1/3/2020,Everton,39374.0
274,E0,Man_United,EPL11,5/3/2020,Derby County,31379.0
275,E0,Man_United,EPL11,12/3/2020,LASK Linz,
276,E0,Man_United,EPL11,19/6/2020,Tottenham Hotspur,
277,E0,Man_United,EPL11,27/6/2020,Norwich City,
278,E0,Man_United,EPL11,30/6/2020,Brighton & Hove Albion,
279,E0,Man_United,EPL11,9/7/2020,Aston Villa,
280,E0,Newcastle,EPL12,17/8/2019,Norwich City,27059.0
281,E0,Newcastle,EPL12,25/8/2019,Tottenham Hotspur,59245.0
282,E0,Newcastle,EPL12,14/9/2019,Liverpool,51430.0
283,E0,Newcastle,EPL12,29/9/2019,Leicester City,32168.0
284,E0,Newcastle,EPL12,19/10/2019,Chelsea,40513.0
285,E0,Newcastle,EPL12,2/11/2019,West Ham United,59907.0
286,E0,Newcastle,EPL12,25/11/2019,Aston Villa,41821.0
287,E0,Newcastle,EPL12,5/12/2019,Sheffield United,30409.0
288,E0,Newcastle,EPL12,14/12/2019,Burnley,19798.0
289,E0,Newcastle,EPL12,26/12/2019,Manchester United,73206.0
290,E0,Newcastle,EPL12,4/1/2020,Rochdale,8593.0
291,E0,Newcastle,EPL12,11/1/2020,Wolverhampton Wanderers,31570.0
292,E0,Newcastle,EPL12,21/1/2020,Everton,38822.0
293,E0,Newcastle,EPL12,4/2/2020,Oxford United,11520.0
294,E0,Newcastle,EPL12,16/2/2020,Arsenal,60188.0
295,E0,Newcastle,EPL12,22/2/2020,Crystal Palace,25486.0
296,E0,Newcastle,EPL12,3/3/2020,West Bromwich Albion,
297,E0,Newcastle,EPL12,7/3/2020,Southampton,30096.0
298,E0,Newcastle,EPL12,1/7/2020,AFC Bournemouth,
299,E0,Newcastle,EPL12,8/7/2020,Manchester City,
300,E0,Newcastle,EPL12,11/7/2020,Watford,
301,E0,Norwich,EPL13,9/8/2019,Liverpool,53333.0
302,E0,Norwich,EPL13,27/8/2019,Crawley Town,5109.0
303,E0,Norwich,EPL13,31/8/2019,West Ham United,59950.0
304,E0,Norwich,EPL13,21/9/2019,Burnley,19712.0
305,E0,Norwich,EPL13,28/9/2019,Crystal Palace,
306,E0,Norwich,EPL13,19/10/2019,AFC Bournemouth,10669.0
307,E0,Norwich,EPL13,2/11/2019,Brighton & Hove Albion,30539.0
308,E0,Norwich,EPL13,23/11/2019,Everton,39241.0
309,E0,Norwich,EPL13,4/12/2019,Southampton,27019.0
310,E0,Norwich,EPL13,14/12/2019,Leicester City,32101.0
311,E0,Norwich,EPL13,26/12/2019,Aston Villa,41289.0
312,E0,Norwich,EPL13,4/1/2020,Preston North End,7616.0
313,E0,Norwich,EPL13,11/1/2020,Manchester United,73271.0
314,E0,Norwich,EPL13,22/1/2020,Tottenham Hotspur,58182.0
315,E0,Norwich,EPL13,25/1/2020,Burnley,8071.0
316,E0,Norwich,EPL13,1/2/2020,Newcastle United,52204.0
317,E0,Norwich,EPL13,23/2/2020,Wolverhampton Wanderers,31046.0
318,E0,Norwich,EPL13,4/3/2020,Tottenham Hotspur,58007.0
319,E0,Norwich,EPL13,7/3/2020,Sheffield United,31379.0
320,E0,Norwich,EPL13,1/7/2020,Arsenal,
321,E0,Norwich,EPL13,7/7/2020,Watford,
322,E0,Norwich,EPL13,14/7/2020,Chelsea,
323,E0,Sheffield,EPL14,10/8/2019,AFC Bournemouth,10714.0
324,E0,Sheffield,EPL14,31/8/2019,Chelsea,40560.0
325,E0,Sheffield,EPL14,21/9/2019,Everton,39354.0
326,E0,Sheffield,EPL14,5/10/2019,Watford,
